article no.;barcode;artist;title;track;ISRC;shop;type;country;qty;dealer (average);net (average);total amount
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;Spotify;Stream;Sweden;1;0,004;0,003;0,003
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;Spotify;Stream;Germany;4;0,003;0,002;0,008
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;Amazon Unlimited;Stream;Germany;6;0,004;0,003;0,02
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;Spotify;Stream;Germany;5;0,003;0,002;0,012
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;iTunes/Apple;Stream;Austria;1;0,003;0,003;0,003
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;iTunes/Apple;Stream;Switzerland;1;0,012;0,009;0,009
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;Facebook;Stream;Germany;1;0,001;0,001;0,001
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;Facebook;Stream;Sweden;1;0;0;0
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;Facebook;Stream;Denmark;1;0;0;0
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;Facebook;Stream;Germany;1;0;0;0
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;Facebook;Stream;Austria;1;0,001;0;0
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;Facebook;Stream;Denmark;1;0;0;0
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;Amazon Unlimited;Stream;Germany;7;0,005;0,004;0,027
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;YouTube Red;Stream;Germany;1;0;0;0
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;Facebook;Stream;Austria;1;0;0;0
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;iTunes/Apple;Stream;Austria;8;0,006;0,005;0,037
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Facebook;Stream;Switzerland;1;0,001;0,001;0,001
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;Facebook;Stream;Switzerland;1;0;0;0
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Facebook;Stream;Sweden;1;0;0;0
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;Facebook;Stream;Italy;1;0,001;0;0
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;Spotify;Stream;Germany;5;0,003;0,002;0,012
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Facebook;Stream;Italy;1;0;0;0
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;Facebook;Stream;Germany;1;0,005;0,004;0,004
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;iTunes/Apple;Stream;Russia;2;0,004;0,003;0,006
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Facebook;Stream;Germany;1;0,001;0,001;0,001
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;Facebook;Stream;Cyprus;1;0;0;0
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;iTunes/Apple;Stream;Germany;5;0;0;0,002
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Facebook;Stream;Cyprus;1;0;0;0
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;Facebook;Stream;Austria;1;0;0;0
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;iTunes/Apple;Download;Germany;1;0,792;0,634;0,634
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Spotify;Stream;Germany;1;0,003;0,002;0,002
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Turkey;3;0,001;0,001;0,002
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Austria;11;0,002;0,002;0,019
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Estonia;1;0,001;0,001;0,001
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Malta;1;0;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;YouTube Red;Stream;Germany;1;0,007;0,005;0,005
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Switzerland;1;0,029;0,023;0,023
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Czech Republic;1;0,004;0,003;0,003
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Hungary;8;0,002;0,002;0,013
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Ireland;1;0,011;0,009;0,009
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Finland;3;0,005;0,004;0,011
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Sweden;1;0,06;0,048;0,048
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Austria;1;0,017;0,014;0,014
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Hungary;1;0,006;0,005;0,005
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Romania;3;0,002;0,002;0,006
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Norway;1;0,011;0,009;0,009
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Switzerland;2;0,005;0,004;0,007
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;iTunes/Apple;Stream;Sweden;2;0,015;0,012;0,023
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Denmark;1;0,013;0,01;0,01
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Lithuania;1;0,001;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;YouTube;Stream;Switzerland;1;0,011;0,009;0,009
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Sweden;1;0,045;0,036;0,036
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Croatia;1;0,003;0,003;0,003
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Germany;93;0,003;0,002;0,2
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Iceland;1;0;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Austria;5;0,003;0,002;0,011
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Slovakia;1;0,001;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Amazon Unlimited;Stream;Germany;1;0,009;0,007;0,007
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Greece;1;0,001;0,001;0,001
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Poland;9;0,002;0,001;0,011
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Malta;1;0;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Sweden;1;0,004;0,003;0,003
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;iTunes/Apple;Stream;Germany;13;0,007;0,006;0,073
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Czech Republic;1;0,002;0,001;0,001
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Latvia;1;0,001;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;YouTube;Stream;Italy;2;0,006;0,005;0,01
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Slovenia;1;0;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Bulgaria;1;0,001;0,001;0,001
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Finland;9;0,004;0,003;0,03
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Hungary;1;0,001;0,001;0,001
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;iTunes/Apple;Stream;Russia;2;0,001;0,001;0,002
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Russia;1;0,006;0,005;0,005
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Germany;1;0,237;0,189;0,189
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Norway;1;0,005;0,004;0,004
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Lithuania;1;0,001;0,001;0,001
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Romania;1;0,002;0,002;0,002
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;iTunes/Apple;Stream;Finland;1;0;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Cyprus;1;0;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Italy;1;0,016;0,013;0,013
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;YouTube;Stream;Germany;10;0,007;0,006;0,055
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Slovakia;1;0;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Belarus;1;0;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Denmark;1;0,005;0,004;0,004
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Greece;1;0,001;0,001;0,001
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;iTunes/Apple;Stream;Germany;1;0,008;0,006;0,006
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Romania;1;0;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Finland;1;0,02;0,016;0,016
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Italy;15;0,003;0,002;0,035
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Latvia;1;0;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Italy;7;0,003;0,002;0,016
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;iTunes/Apple;Stream;Austria;2;0,007;0,005;0,011
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Croatia;1;0,006;0,005;0,005
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Facebook;Stream;Israel;1;0;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;YouTube;Stream;Austria;6;0,003;0,002;0,014
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Facebook;Stream;Russia;1;0,003;0,002;0,002
