article no.;barcode;artist;title;track;ISRC;shop;type;country;qty;dealer (average);net (average);total amount
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Jesse James;BEHC61800014;Spotify;Stream;Denmark;1;0,005;0,004;0,004
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Every Once in a While;BEHC61800013;Napster;Stream;Germany;1;0,007;0,006;0,006
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Every Once in a While;BEHC61800013;Spotify;Stream;Denmark;1;0,005;0,004;0,004
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Every Once in a While;BEHC61800013;Spotify;Stream;Sweden;2;0,004;0,003;0,007
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Jesse James;BEHC61800014;Deezer;Stream;Germany;1;0,006;0,005;0,005
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Every Once in a While;BEHC61800013;24/7 Entertainment GmbH;Stream;Denmark;1;0,006;0,005;0,005
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;Spotify;Stream;Germany;6;0,002;0,001;0,009
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;Spotify;Stream;Italy;2;0,002;0,001;0,003
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Never Gonna Let;BEHC61800003;YouTube Red;Stream;Switzerland;1;0,006;0,005;0,005
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Never Gonna Let;BEHC61800003;Spotify;Stream;Italy;1;0,002;0,001;0,001
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Never Gonna Let;BEHC61800003;Spotify;Stream;Germany;4;0,001;0,001;0,004
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;Spotify;Stream;Israel;1;0,003;0,002;0,002
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;iTunes/Apple;Stream;Russia;4;0,002;0,001;0,005
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;iTunes/Apple;Download;Germany;1;0,792;0,634;0,634
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;iTunes/Apple;Stream;Austria;3;0,005;0,004;0,013
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;Google Play;Stream;Finland;1;0,009;0,008;0,008
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;Deezer;Stream;Italy;1;0;0;0
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;Deezer;Stream;Germany;4;0,005;0,004;0,015
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;Deezer;Stream;Croatia;56;0,002;0,002;0,098
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;iTunes/Apple;Stream;Germany;5;0,004;0,003;0,016
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;Spotify;Stream;Germany;298;0,003;0,002;0,702
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;Napster;Stream;Germany;5;0,008;0,006;0,031
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;Wrongful Suspicion;BEHC61800029;Deezer;Stream;Germany;30;0,005;0,004;0,112
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;Spotify;Stream;Austria;36;0,003;0,002;0,075
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;Spotify;Stream;Ireland;9;0,004;0,003;0,028
