article no.;barcode;artist;title;track;ISRC;shop;type;country;qty;dealer (average);net (average);total amount
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,); ;3,76023E+12;Spotify;Stream;Austria;1;0;0;0
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Jesse James;BEHC61800014;Spotify;Stream;Switzerland;2;0,002;0,002;0,004
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Every Once in a While;BEHC61800013;Google Play;Stream;Switzerland;1;0,007;0,005;0,005
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Every Once in a While;BEHC61800013;YouTube Red;Stream;Germany;1;0,007;0,006;0,006
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Jesse James;BEHC61800014;Spotify;Stream;Italy;17;0,002;0,001;0,023
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Every Once in a While;BEHC61800013;Spotify;Stream;Switzerland;3;0,003;0,003;0,008
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Jesse James;BEHC61800014;Spotify;Stream;Germany;8;0,003;0,003;0,021
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Every Once in a While;BEHC61800013;Spotify;Stream;Italy;27;0,002;0,001;0,036
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Jesse James;BEHC61800014;Spotify;Stream;Denmark;1;0,005;0,004;0,004
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Every Once in a While;BEHC61800013;Spotify;Stream;Germany;9;0,003;0,002;0,022
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,); ;3,76023E+12;Spotify;Stream;Italy;1;0;0;0
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Every Once in a While;BEHC61800013;Spotify;Stream;Denmark;1;0,005;0,004;0,004
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,); ;3,76023E+12;Spotify;Stream;Germany;1;0,003;0,003;0,003
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Jesse James;BEHC61800014;YouTube Red;Stream;Germany;2;0,004;0,003;0,006
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Every Once in a While;BEHC61800013;iTunes/Apple;Stream;Switzerland;1;0,012;0,01;0,01
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;Spotify;Stream;Germany;3;0,003;0,003;0,008
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;iTunes/Apple;Stream;Germany;1;0,009;0,007;0,007
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;Amazon Unlimited;Stream;Germany;3;0,004;0,003;0,009
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Never Gonna Let;BEHC61800003;YouTube Red;Stream;Switzerland;7;0,007;0,006;0,041
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Never Gonna Let;BEHC61800003;Spotify;Stream;Germany;1;0,003;0,003;0,003
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Never Gonna Let;BEHC61800003;Google Play;Stream;Germany;1;0,005;0,004;0,004
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;Wrongful Suspicion;BEHC61800029;iTunes/Apple;Stream;Russia;1;0,002;0,001;0,001
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;Spotify;Stream;Poland;2;0,002;0,001;0,003
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Switzerland;51;0,004;0,003;0,162
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;Napster;Stream;Germany;1;0,008;0,006;0,006
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Denmark;14;0,005;0,004;0,055
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;Wrongful Suspicion;BEHC61800029;YouTube;Stream;Hungary;3;0,001;0,001;0,002
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;Wrongful Suspicion;BEHC61800029;Amazon Unlimited;Stream;Germany;6;0,009;0,007;0,044
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;The Noose;BEHC61800030;Spotify;Stream;Greece;3;0,003;0,002;0,007
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion / The Noose;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Israel;1;0,003;0,003;0,003
