article no.;barcode;artist;title;track;ISRC;shop;type;country;qty;dealer (average);net (average);total amount
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Full Album;3,76023E+12;Spotify;Stream;Sweden;1;0;0;0
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;Google Play;Stream;Germany;1;0,005;0,004;0,004
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Full Album;3,76023E+12;Spotify;Stream;Italy;1;0,001;0;0
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;Spotify;Stream;Switzerland;3;0,001;0;0,001
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Full Album;3,76023E+12;Spotify;Stream;Germany;1;0,001;0;0
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;Spotify;Stream;Germany;2;0,003;0,002;0,005
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Full Album;3,76023E+12;Spotify;Stream;Denmark;1;0;0;0
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;iTunes/Apple;Download;Germany;1;0,792;0,634;0,634
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Full Album;3,76023E+12;Spotify;Stream;Austria;1;0;0;0
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;iTunes/Apple;Stream;Austria;2;0,003;0,003;0,005
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;Spotify;Stream;Germany;3;0,003;0,002;0,007
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Full Album;3,76023E+12;Spotify;Stream;Switzerland;1;0;0;0
7' 20671;3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;iTunes/Apple;Download;Germany;1;0,792;0,634;0,634
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Full Album;3,76023E+12;Spotify;Stream;Austria;1;0;0;0
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;Spotify;Stream;Poland;4;0,002;0,001;0,005
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;Spotify;Stream;Germany;1;0,002;0,001;0,001
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Spotify;Stream;Poland;3;0,002;0,001;0,004
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Spotify;Stream;Germany;1;0,002;0,001;0,001
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Full Album;3,76023E+12;Spotify;Stream;Italy;1;0;0;0
7' 20672;3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Full Album;3,76023E+12;Spotify;Stream;Germany;1;0;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Full Album;3,76023E+12;Spotify;Stream;Sweden;1;0,008;0,006;0,006
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Germany;75;0,003;0,002;0,164
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Full Album;3,76023E+12;Spotify;Stream;Germany;1;0,042;0,033;0,033
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;YouTube Red;Stream;Germany;2;0,007;0,005;0,011
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;iTunes/Apple;Stream;Russia;1;0,002;0,001;0,001
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Poland;10;0,002;0,001;0,012
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Full Album;3,76023E+12;Spotify;Stream;Italy;1;0,006;0,004;0,004
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;iTunes/Apple;Stream;Germany;16;0,006;0,005;0,076
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Norway;1;0,005;0,004;0,004
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;YouTube;Stream;Germany;10;0,003;0,002;0,023
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Full Album;3,76023E+12;Spotify;Stream;Slovakia;1;0;0;0
7' 20674;3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Finland;3;0,005;0,004;0,011
