article no.;barcode;artist;title;track;ISRC;shop;type;country;qty;dealer (average);net (average);total amount
LP 20673;3,76023E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Jesse James;BEHC61800014;iTunes;Download;DE;2;0,79;0,632;1,264
LP 20673;3,76023E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;iTunes;Download;DE;2;0,79;0,632;1,264
;;;;;;;;;;;;
total sales;total amount;v.a.t.;total value;;;;;;;;;
4;2,53;0;2,53 EURO;;;;;;;;;
