article no.;barcode;artist;title;track;ISRC;shop;type;country;qty;dealer (average);net (average);total amount
"7"" 20671";3,76E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Jesse James;BEHC61800014;YouTube;Stream;Germany;3;0,001;0,001;0,002
"7"" 20671";3,76E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Jesse James;BEHC61800014;YouTube;Stream;Austria;5;0,001;0,001;0,003
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Never Gonna Let;BEHC61800003;Amazon Unlimited;Stream;Germany;8;0,005;0,004;0,03
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;iTunes/Apple;Stream;Germany;9;0,007;0,006;0,051
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;iTunes/Apple;Download;Germany;3;0,792;0,634;1,901
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;Amazon Unlimited;Stream;Germany;9;0,006;0,004;0,04
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;Spotify;Stream;Sweden;1;0,005;0,004;0,004
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Never Gonna Let;BEHC61800003;Spotify;Stream;Italy;2;0,003;0,002;0,004
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;Spotify;Stream;Italy;3;0,004;0,003;0,009
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Never Gonna Let;BEHC61800003;Spotify;Stream;Germany;12;0,003;0,002;0,029
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;Spotify;Stream;Germany;11;0,003;0,002;0,025
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Never Gonna Let;BEHC61800003;iTunes/Apple;Download;Germany;1;0,792;0,634;0,634
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;iTunes/Apple;Download;Switzerland;1;0,863;0,69;0,69
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Jesse James;BEHC61800014;Amazon Unlimited;Stream;Germany;3;0,005;0,004;0,012
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Pot of Gold;BEHC61800022;Amazon Digital Services Inc,;Stream;Germany;27;0;0;0,002
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Spotify;Stream;Hungary;2;0,003;0,002;0,004
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Spotify;Stream;Hungary;3;0,003;0,002;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;iTunes/Apple;Stream;Switzerland;4;0,004;0,003;0,012
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);I Know a Girl;BEHC61800018;Spotify;Stream;Hungary;3;0,003;0,002;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Get to Say You´re Sorry;BEHC61800021;Spotify;Stream;Hungary;3;0,003;0,002;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;Spotify;Stream;Germany;21;0,002;0,002;0,037
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;Spotify;Stream;Hungary;2;0,003;0,002;0,004
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Hungary;4;0,003;0,002;0,009
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Jesse James;BEHC61800014;Spotify;Stream;Czech Republic;8;0,003;0,003;0,02
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Pot of Gold;BEHC61800022;Spotify;Stream;Czech Republic;5;0,003;0,003;0,013
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Amazon Digital Services Inc,;Download;Germany;1;0,484;0,387;0,387
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;YouTube;Stream;Germany;1;0,009;0,007;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);J´attendrai;BEHC61800019;iTunes/Apple;Stream;Switzerland;1;0,006;0,005;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Go Home;BEHC61800020;iTunes/Apple;Stream;Germany;9;0,004;0,004;0,032
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Google Play;Stream;Germany;1;0,006;0,005;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;iTunes/Apple;Stream;Germany;4;0,004;0,004;0,014
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Sweden;12;0,004;0,003;0,039
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);I Know a Girl;BEHC61800018;Google Play;Stream;Germany;1;0,006;0,005;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Get to Say You´re Sorry;BEHC61800021;Amazon Unlimited;Stream;Germany;1;0,005;0,004;0,004
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;Amazon Unlimited;Stream;Germany;2;0,005;0,004;0,008
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;Amazon Unlimited;Stream;Germany;3;0,005;0,004;0,012
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Austria;7;0,004;0,003;0,023
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Jesse James;BEHC61800014;Amazon Digital Services Inc,;Stream;Germany;27;0;0;0,002
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Go Home;BEHC61800020;Spotify;Stream;Switzerland;2;0,003;0,003;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Spotify;Stream;Germany;16;0,002;0,002;0,029
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Spotify;Stream;Germany;15;0,003;0,002;0,036
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;iTunes/Apple;Stream;Germany;5;0,004;0,004;0,018
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);I Know a Girl;BEHC61800018;Spotify;Stream;Germany;12;0,003;0,002;0,024
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Get to Say You´re Sorry;BEHC61800021;Spotify;Stream;Germany;10;0,002;0,002;0,019
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;Spotify;Stream;Estonia;1;0,004;0,003;0,003
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;Spotify;Stream;Germany;8;0,002;0,002;0,016
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Germany;21;0,003;0,002;0,05
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Jesse James;BEHC61800014;Spotify;Stream;Bulgaria;4;0,001;0,001;0,004
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Pot of Gold;BEHC61800022;Spotify;Stream;Austria;7;0,004;0,003;0,023
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;YouTube;Stream;Austria;2;0,002;0,002;0,004
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;Spotify;Stream;Hungary;3;0,003;0,002;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);J´attendrai;BEHC61800019;iTunes/Apple;Stream;Germany;3;0,004;0,004;0,011
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Go Home;BEHC61800020;Google Play;Stream;Germany;1;0,006;0,005;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Amazon Unlimited;Stream;Germany;2;0,005;0,004;0,008
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;iTunes/Apple;Stream;Denmark;4;0,018;0,014;0,057
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Romania;2;0,002;0,002;0,004
