article no.;barcode;artist;title;track;ISRC;shop;type;country;qty;dealer (average);net (average);total amount
"7"" 20671";3,76E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Every Once in a While;BEHC61800013;Deezer;Stream;Germany;2;0,003;0,003;0,005
"7"" 20671";3,76E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Every Once in a While;BEHC61800013;Google Play;Stream;Germany;1;0,006;0,004;0,004
"7"" 20671";3,76E+12;R,W,W, (Reggae Workers of the World);Every Once In A While / Jesse James (Lim,Ed,);Jesse James;BEHC61800014;Deezer;Stream;Germany;1;0,001;0,001;0,001
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;Spotify;Stream;Germany;6;0,003;0,003;0,016
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Never Gonna Let;BEHC61800003;iTunes/Apple;Stream;Germany;2;0,001;0,001;0,001
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Never Gonna Let;BEHC61800003;Spotify;Stream;Germany;6;0,003;0,002;0,014
"7"" 20672";3,76E+12;Caz Gardiner & The Badasonics;Never Gonna Let / Tic Tac Toe (Lim,Ed,);Tic Tac Toe;BEHC61800009;iTunes/Apple;Stream;Germany;2;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;iTunes/Apple;Stream;Switzerland;5;0,003;0,003;0,013
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;iTunes/Apple;Stream;USA;1;0;0;0
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;Spotify;Stream;Austria;12;0,005;0,004;0,045
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;Spotify;Stream;Finland;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;Spotify;Stream;Germany;14;0,003;0,002;0,03
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;Spotify;Stream;Italy;9;0,002;0,002;0,014
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;Spotify;Stream;Switzerland;4;0,003;0,003;0,01
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;iTunes/Apple;Download;Switzerland;1;0,867;0,694;0,694
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;iTunes/Apple;Stream;Germany;13;0,004;0,004;0,046
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;iTunes/Apple;Download;Germany;1;0,792;0,634;0,634
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;iTunes/Apple;Stream;Czech Republic;1;0,007;0,005;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;Deezer;Stream;Germany;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;Amazon Unlimited;Stream;Germany;6;0,012;0,01;0,059
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;Amazon Digital Services Inc,;Stream;Germany;22;0;0;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Pot of Gold;BEHC61800022;TIDAL;Stream;Germany;1;0,009;0,007;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Pot of Gold;BEHC61800022;Spotify;Stream;Switzerland;18;0,003;0,003;0,045
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;Google Play;Stream;Germany;1;0,006;0,004;0,004
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Shut Yer Mouth;BEHC61800023;TIDAL;Stream;Germany;1;0,009;0,007;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;TIDAL;Stream;Germany;1;0,009;0,007;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Spotify;Stream;Switzerland;1;0,003;0,003;0,003
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Spotify;Stream;Italy;10;0,002;0,002;0,018
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Spotify;Stream;Germany;12;0,003;0,003;0,033
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Spotify;Stream;Finland;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Spotify;Stream;Bulgaria;4;0,001;0,001;0,004
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Spotify;Stream;Austria;13;0,005;0,004;0,048
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;iTunes/Apple;Stream;Switzerland;3;0,004;0,003;0,009
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;iTunes/Apple;Download;Switzerland;1;0,867;0,694;0,694
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;iTunes/Apple;Stream;Germany;11;0,004;0,004;0,039
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;iTunes/Apple;Stream;Denmark;1;0,018;0,015;0,015
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;iTunes/Apple;Stream;Czech Republic;1;0,007;0,005;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Google Play;Stream;Germany;1;0,006;0,004;0,004
ññÜ;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Deezer;Stream;Germany;2;0,003;0,003;0,006
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Amazon Unlimited;Stream;Germany;10;0,012;0,009;0,093
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Wonder;BEHC61800024;Amazon Digital Services Inc,;Stream;Germany;22;0;0;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Jesse James;BEHC61800014;Amazon Digital Services Inc,;Stream;Germany;22;0;0;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);I Know a Girl;BEHC61800018;Spotify;Stream;Austria;12;0,005;0,004;0,045
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Romania;5;0,002;0,002;0,009
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Sweden;16;0,004;0,003;0,05
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Switzerland;5;0,003;0,003;0,013
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;TIDAL;Stream;Germany;1;0,009;0,007;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;Amazon Digital Services Inc,;Stream;Germany;22;0;0;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;Amazon Unlimited;Stream;Germany;7;0,011;0,009;0,063
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;Deezer;Stream;Germany;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;Google Play;Stream;Germany;1;0,006;0,004;0,004
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Poland;1;0;0;0
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Norway;25;0,004;0,003;0,085
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Denmark;1;0,006;0,005;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Finland;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Germany;8;0,003;0,002;0,018
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Hungary;2;0,001;0,001;0,002
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Ireland;10;0,003;0,002;0,025
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Italy;7;0,002;0,002;0,011
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Latvia;1;0;0;0
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Lithuania;1;0,003;0,003;0,003
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;iTunes/Apple;Stream;Czech Republic;1;0,007;0,005;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;iTunes/Apple;Stream;Germany;17;0,004;0,004;0,06
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);I Know a Girl;BEHC61800018;Amazon Digital Services Inc,;Stream;Germany;22;0;0;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);I Know a Girl;BEHC61800018;Amazon Unlimited;Stream;Germany;6;0,012;0,01;0,059
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);I Know a Girl;BEHC61800018;Deezer;Stream;Germany;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);I Know a Girl;BEHC61800018;Google Play;Stream;Germany;1;0,006;0,004;0,004
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);I Know a Girl;BEHC61800018;iTunes/Apple;Stream;Czech Republic;1;0,007;0,005;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);I Know a Girl;BEHC61800018;iTunes/Apple;Stream;Germany;6;0,004;0,004;0,021
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);I Know a Girl;BEHC61800018;iTunes/Apple;Stream;Switzerland;3;0,004;0,003;0,009
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);I Know a Girl;BEHC61800018;iTunes/Apple;Stream;Ukraine;3;0,004;0,003;0,009
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download); ;3,76E+12;Amazon Digital Services Inc,;Download;Germany;1;5,368;4,294;4,294
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;TIDAL;Stream;Germany;1;0,009;0,007;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;iTunes/Apple;Stream;Switzerland;2;0,004;0,003;0,006
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;Spotify;Stream;Austria;12;0,005;0,004;0,045
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;Spotify;Stream;Bulgaria;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;Spotify;Stream;Finland;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;Spotify;Stream;Germany;2;0,004;0,003;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;Spotify;Stream;Italy;4;0,002;0,002;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;Spotify;Stream;Switzerland;1;0,003;0,003;0,003
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Eye of the Storm;BEHC61800017;TIDAL;Stream;Finland;1;0,014;0,011;0,011
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Bulgaria;5;0,001;0,001;0,003
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Spotify;Stream;Austria;22;0,005;0,004;0,08
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;iTunes/Apple;Stream;Switzerland;3;0,006;0,005;0,016
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;Spotify;Stream;Switzerland;1;0,003;0,003;0,003
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;TIDAL;Stream;Germany;1;0,009;0,007;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Amazon Digital Services Inc,;Stream;Germany;22;0;0;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Amazon Unlimited;Stream;Germany;7;0,011;0,009;0,063
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Deezer;Stream;Germany;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Google Play;Stream;Germany;1;0,006;0,004;0,004
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;iTunes/Apple;Stream;Czech Republic;1;0,007;0,005;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;iTunes/Apple;Stream;Denmark;16;0,018;0,015;0,232
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;Spotify;Stream;Italy;9;0,002;0,002;0,014
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;Spotify;Stream;Germany;8;0,004;0,003;0,027
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;Amazon Unlimited;Stream;Germany;9;0,012;0,01;0,089
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;Deezer;Stream;Germany;2;0,003;0,003;0,006
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;Google Play;Stream;Germany;1;0,006;0,004;0,004
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;iTunes/Apple;Stream;Czech Republic;1;0,007;0,005;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;iTunes/Apple;Stream;Germany;19;0,004;0,004;0,067
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;iTunes/Apple;Stream;Switzerland;5;0,004;0,003;0,016
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;Spotify;Stream;Austria;13;0,005;0,004;0,048
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;Spotify;Stream;Finland;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;iTunes/Apple;Stream;Germany;14;0,004;0,004;0,05
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;iTunes/Apple;Stream;Italy;7;0,011;0,009;0,062
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Spotify;Stream;Switzerland;9;0,004;0,003;0,028
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;TIDAL;Stream;Germany;1;0,009;0,007;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;YouTube;Stream;Austria;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Amazon Digital Services Inc,;Stream;Germany;22;0;0;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Amazon Unlimited;Stream;Germany;6;0,012;0,01;0,059
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;Deezer;Stream;Germany;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;iTunes/Apple;Stream;Czech Republic;1;0,007;0,005;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Every Once in a While;BEHC61800013;iTunes/Apple;Stream;Germany;8;0,005;0,004;0,031
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Spotify;Stream;Sweden;19;0,004;0,003;0,053
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Spotify;Stream;Norway;4;0,004;0,004;0,014
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;iTunes/Apple;Stream;Sweden;2;0,012;0,009;0,019
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;iTunes/Apple;Stream;Switzerland;9;0,006;0,005;0,047
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Spotify;Stream;Austria;17;0,004;0,004;0,06
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Spotify;Stream;Bulgaria;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Spotify;Stream;Denmark;1;0,004;0,003;0,003
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Spotify;Stream;Finland;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Spotify;Stream;Germany;8;0,003;0,002;0,018
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Danielle;BEHC61800016;Spotify;Stream;Italy;12;0,002;0,001;0,017
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Bump in the Night;BEHC61800015;Amazon Digital Services Inc,;Stream;Germany;22;0;0;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Pot of Gold;BEHC61800022;Spotify;Stream;Italy;10;0,002;0,001;0,014
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Get to Say You´re Sorry;BEHC61800021;TIDAL;Stream;Germany;1;0,009;0,007;0,007
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Go Home;BEHC61800020;Amazon Digital Services Inc,;Stream;Germany;24;0;0;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Go Home;BEHC61800020;Amazon Unlimited;Stream;Germany;6;0,012;0,01;0,059
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Go Home;BEHC61800020;Deezer;Stream;Germany;1;0,001;0,001;0,001
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Go Home;BEHC61800020;Google Play;Stream;Germany;1;0,006;0,004;0,004
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Go Home;BEHC61800020;iTunes/Apple;Stream;Czech Republic;1;0,007;0,005;0,005
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Go Home;BEHC61800020;iTunes/Apple;Stream;Germany;16;0,004;0,004;0,057
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Go Home;BEHC61800020;iTunes/Apple;Stream;Switzerland;5;0,004;0,003;0,016
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Get to Say You´re Sorry;BEHC61800021;Spotify;Stream;Switzerland;1;0,003;0,003;0,003
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Get to Say You´re Sorry;BEHC61800021;Spotify;Stream;Latvia;1;0;0;0
LP 20673;3,76E+12;R,W,W, (Reggae Workers of the World);R,W,W, II (180Gr,/+Download);Never Get to Say You´re Sorry;BEHC61800021;iTunes/Apple;Stream;Germany;14;0,004;0,004;0,05
